date,value,precip,windmax,windmaxdir,rhhi,temphi,templo,avgtemp
2023-05-01,25386966.0,0.0,16.32951,198.1055,43.099179,27.86317,12.56078,20.21
2023-05-02,23861797.0,0.0,18.88214,344.0209,55.510489,26.8581,16.28745,21.57
2023-05-03,26267232.0,43.74,14.81437,295.8775,84.472275,25.15232,15.83241,20.49
2023-05-04,29788482.0,101.32,12.89776,216.7233,97.167392,20.79052,14.89857,17.84
2023-05-05,31251415.0,16.22,16.55194,191.7546,74.619745,17.86589,13.16882,15.52
2023-05-06,30900396.0,0.0,18.87143,195.6747,54.947283,20.12052,12.38778,16.25
2023-05-07,30855604.0,0.0,13.57137,211.0557,48.272932,22.03626,11.43984,16.74
2023-05-08,31778689.0,0.0,8.26167,151.9101,48.393587,23.55871,10.64834,17.1
2023-05-09,32288018.0,0.0,8.31258,230.822,51.972712,24.8609,12.12921,18.5
2023-05-10,32707611.0,0.0,5.44822,179.4217,53.976633,24.36533,14.16546,19.27
2023-05-11,32861605.0,0.0,8.34242,139.2273,50.195778,25.5838,14.34697,19.97
2023-05-12,32991930.0,5.73,14.42002,41.765,56.00545,26.60001,14.36607,20.48
2023-05-13,32732110.0,18.09,10.11459,203.5702,62.688538,27.06962,15.00891,21.04
2023-05-14,31980881.0,21.7,13.17558,150.3433,60.544954,29.59975,15.65731,22.63
2023-05-15,32932571.0,0.0,15.48128,14.7478,56.423671,32.96229,18.60146,25.78
2023-05-16,33585051.0,0.0,20.71646,55.0385,54.213441,33.21627,21.68369,27.45
2023-05-17,34095770.0,0.0,15.34554,240.5405,70.489074,31.74762,17.99255,24.87
2023-05-18,34967183.0,3.67,10.04197,249.031,81.639654,29.14219,16.37664,22.76
2023-05-19,33807488.0,0.0,13.37534,175.4442,66.683173,28.20431,16.22227,22.21
2023-05-20,33605348.0,56.77,14.04535,189.156,55.331665,28.2408,17.28822,22.76
2023-05-21,32762441.0,24.0,12.08127,159.8646,56.939266,25.57123,15.13954,20.36
2023-05-22,32883965.0,0.0,8.53693,122.9362,52.584865,25.13038,13.53673,19.33
2023-05-23,33166790.0,0.0,9.04949,24.8723,45.532683,28.01137,14.54849,21.28
2023-05-24,33155235.0,0.0,16.23581,80.5209,51.797958,28.00404,16.91062,22.46
2023-05-25,33279421.0,14.78,15.19992,213.8481,72.55967,25.04536,14.94063,19.99
2023-05-26,33916258.0,26.94,10.50855,302.9856,77.921163,25.58388,15.52337,20.55
2023-05-27,33621624.0,90.43,10.30661,235.9896,92.449092,24.15852,17.98971,21.07
2023-05-28,32910832.0,101.32,9.449,216.4377,94.821947,21.47218,17.69158,19.58
2023-05-29,32555020.0,64.15,9.10098,218.4146,82.520479,24.19295,17.52292,20.86
2023-05-30,33279637.0,44.87,7.77248,224.5635,80.389182,24.23618,16.67839,20.46
2023-05-31,32538885.0,0.0,7.20272,237.0316,72.443559,28.0836,15.9158,22.0
2023-06-01,32494974.0,0.0,10.799,88.1282,64.615337,30.86395,18.86664,24.87
2023-06-02,32928660.0,0.0,12.05463,188.7247,61.336421,29.70812,16.11577,22.91
2023-06-03,32500339.0,0.0,8.88499,83.6767,49.970701,29.69952,15.47732,22.59
2023-06-04,31294264.0,31.95,12.24441,43.0012,67.152731,29.36374,17.9806,23.67
2023-06-05,32145867.0,0.0,12.4509,104.3377,67.063063,29.47031,17.04462,23.26
2023-06-06,32655653.0,0.0,11.4759,63.7946,57.192547,31.86589,18.2239,25.04
2023-06-07,33158369.0,13.05,16.37041,37.2298,54.566875,34.27055,21.12714,27.7
2023-06-08,32922543.0,0.0,11.73603,166.2009,41.552702,34.25424,21.20462,27.73
2023-06-09,32740763.0,0.0,11.44748,159.4904,42.966457,35.22993,19.83859,27.53
2023-06-10,32706799.0,15.42,11.25243,260.6434,53.881463,34.30525,18.88354,26.59
2023-06-11,31619662.0,40.26,8.15554,243.9609,62.098458,31.21129,17.71889,24.47
2023-06-12,32632491.0,60.15,6.98519,192.6034,67.377884,31.09848,18.53737,24.82
2023-06-13,33082485.0,7.08,7.68199,210.5938,61.951545,29.64764,18.76834,24.21
2023-06-14,32917487.0,0.0,7.60069,270.8202,53.627077,31.93757,18.19374,25.07
2023-06-15,33223093.0,0.0,11.35273,196.7671,51.275372,35.20039,20.76811,27.98
2023-06-16,33053172.0,0.0,12.2339,277.8724,56.73554,34.40039,22.94987,28.68
2023-06-17,33757670.0,7.7,11.78885,313.0902,70.274945,29.56525,22.86006,26.21
2023-06-18,32513033.0,7.7,11.57366,308.1166,71.066983,28.73177,20.8779,24.8
2023-06-19,34235094.0,95.59,9.13849,258.2719,87.339713,24.5436,20.8175,22.68
2023-06-20,33428989.0,19.58,7.80137,160.0333,71.472569,30.94979,19.80045,25.38
2023-06-21,32658353.0,0.0,7.85049,109.4368,51.410543,33.86648,21.26123,27.56
2023-06-22,29596618.0,0.0,8.33704,101.6585,43.783844,37.28038,21.96564,29.62
2023-06-23,30925956.0,0.0,10.49917,248.6059,47.265787,37.478,23.53866,30.51
